Afghanistan;Kabul;AFN;?;ps;pus;
Mongolia;Ulan Bator;MWK;MK;it;ita;
Montenegro;Podgorica;MYR;RM;fr;fra;
Montserrat;Plymouth;MVR;.?;de;deu;
Morocco;Rabat;XOF;Fr;es;spa;
Mozambique;Maputo;EUR;€;en;eng;
Myanmar;Naypyidaw;USD;$;zh;zho;
Namibia;Windhoek;EUR;€;hu;hun;
Nauru;Yaren;MRO;UM;is;isl;
Nepal;Kathmandu;MUR;?;hi;hin;
Netherlands;Amsterdam;EUR;€;en;eng;
New Caledonia;Nouméa;MXN;$;id;ind;
New Zealand;Wellington;;$;fr;fra;
Nicaragua;Managua;USD;$;fa;fas;
Niger;Niamey;MDL;L;ar;ara;
Nigeria;Abuja;EUR;€;ku;kur;
Niue;Alofi;MNT;?;ga;gle;
Norfolk Island;Kingston;EUR;€;en;eng;
Korea (Democratic People's Republic of);Pyongyang;XCD;$;en;eng;
Northern Mariana Islands;Saipan;MAD;?.?.;gv;glv;
Norway;Oslo;MZN;MT;he;heb;
Oman;Muscat;MMK;Ks;ar;ara;
Pakistan;Islamabad;NAD;$;it;ita;
Palau;Ngerulmud;ZAR;R;en;eng;
Palestine, State of;Ramallah;AUD;$;ja;jpn;
Panama;Panama City;(none);$;en;eng;
Papua New Guinea;Port Moresby;NPR;?;fr;fra;
Paraguay;Asunción;EUR;€;ar;ara;
Peru;Lima;XPF;Fr;kk;kaz;
Philippines;Manila;NZD;$;ru;rus;
Pitcairn;Adamstown;NIO;C$;en;eng;
Poland;Warsaw;XOF;Fr;sw;swa;
Portugal;Lisbon;NGN;?;en;eng;
Puerto Rico;San Juan;NZD;$;ar;ara;
Qatar;Doha;(none);$;ky;kir;
Republic of Kosovo;Pristina;AUD;$;ru;rus;
Réunion;Saint-Denis;KPW;?;lo;lao;
Romania;Bucharest;USD;$;lv;lav;
Russian Federation;Moscow;NOK;kr;ar;ara;
Rwanda;Kigali;OMR;?.?.;fr;fra;
Saint Barthélemy;Gustavia;PKR;?;en;eng;
Saint Helena, Ascension and Tristan da Cunha;Jamestown;(none);$;st;sot;
Saint Kitts and Nevis;Basseterre;USD;$;en;eng;
Saint Lucia;Castries;ILS;?;ar;ara;
Saint Martin (French part);Marigot;PAB;B/.;de;deu;
Saint Pierre and Miquelon;Saint-Pierre;USD;$;lt;lit;
Saint Vincent and the Grenadines;Kingstown;PGK;K;fr;fra;
Samoa;Apia;PYG;?;de;deu;
San Marino;City of San Marino;PEN;S/.;lb;ltz;
Sao Tome and Principe;São Tomé;PHP;?;zh;zho;
Saudi Arabia;Riyadh;NZD;$;pt;por;
Senegal;Dakar;;$;mk;mkd;
Serbia;Belgrade;PLN;z?;fr;fra;
Seychelles;Victoria;EUR;€;mg;mlg;
Sierra Leone;Freetown;USD;$;en;eng;
Singapore;Singapore;QAR;?.?;ny;nya;
Sint Maarten (Dutch part);Philipsburg;EUR;€;;zsm;
Slovakia;Bratislava;EUR;€;dv;div;
Slovenia;Ljubljana;RON;lei;fr;fra;
Solomon Islands;Honiara;RUB;?;mt;mlt;
Somalia;Mogadishu;RWF;Fr;en;eng;
South Africa;Pretoria;EUR;€;en;eng;
South Georgia and the South Sandwich Islands;King Edward Point;SHP;£;mh;mah;
Korea (Republic of);Seoul;XCD;$;fr;fra;
South Sudan;Juba;XCD;$;ar;ara;
Spain;Madrid;EUR;€;en;eng;
Sri Lanka;Colombo;EUR;€;fr;fra;
Sudan;Khartoum;XCD;$;es;spa;
Suriname;Paramaribo;WST;T;en;eng;
Svalbard and Jan Mayen;Longyearbyen;EUR;€;ro;ron;
Swaziland;Lobamba;STD;Db;fr;fra;
Sweden;Stockholm;SAR;?.?;mn;mon;
Switzerland;Bern;XOF;Fr;sr;srp;
Syrian Arab Republic;Damascus;RSD;???.;bs;bos;
Taiwan;Taipei;SCR;?;sq;sqi;
Tajikistan;Dushanbe;SLL;Le;hr;hrv;
Tanzania, United Republic of;Dodoma;BND;$;en;eng;
Thailand;Bangkok;SGD;$;ar;ara;
Timor-Leste;Dili;ANG;ƒ;pt;por;
Togo;Lomé;EUR;€;my;mya;
Tokelau;Fakaofo;EUR;€;en;eng;
Tonga;Nuku'alofa;SBD;$;af;afr;
Trinidad and Tobago;Port of Spain;SOS;Sh;en;eng;
Tunisia;Tunis;ZAR;R;na;nau;
Turkey;Ankara;GBP;£;ne;nep;
Turkmenistan;Ashgabat;(none);£;nl;nld;
Turks and Caicos Islands;Cockburn Town;KRW;?;fr;fra;
Tuvalu;Funafuti;SSP;£;en;eng;
Uganda;Kampala;EUR;€;mi;mri;
Ukraine;Kiev;LKR;Rs;es;spa;
United Arab Emirates;Abu Dhabi;SDG;?.?.;fr;fra;
United Kingdom of Great Britain and Northern Ireland;London;SRD;$;en;eng;
United States of America;Washington, D.C.;NOK;kr;en;eng;
Uruguay;Montevideo;SZL;L;en;eng;
Uzbekistan;Tashkent;SEK;kr;ko;kor;
Vanuatu;Port Vila;CHF;Fr;en;eng;
Venezuela (Bolivarian Republic of);Caracas;SYP;£;ch;cha;
Viet Nam;Hanoi;TWD;$;no;nor;
Wallis and Futuna;Mata-Utu;TJS;??;nb;nob;
Western Sahara;El Aaiún;TZS;Sh;nn;nno;
Yemen;Sana'a;THB;?;ar;ara;
Zambia;Lusaka;USD;$;en;eng;
Zimbabwe;Harare;;;ur;urd;
