Road Town;flat7;Virgin Islands (British);BRL;R$;fr;fra;Avenue y;Sale;597;02018-09-23;252392;
Bandar Seri Begawan;flat8;Brunei Darussalam;USD;$;dz;dzo;Zone z;Rental;401;02018-09-23;789421;
Bandar Seri Begawan;hotel6;Brunei Darussalam;USD;$;dz;dzo;Zone z;Sale;994;02018-09-23;752745;
Ouagadougou;villa8;Burkina Faso;USD;$;ay;aym;Zone z;Rental;602;02018-09-25;674076;
Phnom Penh;villa1;Cambodia;BND;$;nl;nld;Zone z;Sale;642;02018-09-28;855942;
Yaoundé;hotel1;Cameroon;SGD;$;bs;bos;Avenue y;Both;569;02018-10-02;593520;
Ottawa;villa3;Canada;BGN;??;hr;hrv;street x;Rental;116;02018-10-04;497517;
Praia;flat1;Cabo Verde;XOF;Fr;sr;srp;street x;Rental;748;02018-10-07;443221;
Praia;flat1;Cabo Verde;XOF;Fr;sr;srp;street x;Both;24;02018-10-07;52410;
George Town;villa3;Cayman Islands;BIF;Fr;en;eng;Zone z;Sale;765;02018-10-09;444614;
Bangui;hotel8;Central African Republic;KHR;?;tn;tsn;Zone z;Both;403;02018-10-12;894566;
Santiago;hotel1;Chile;XAF;Fr;nb;nob;Avenue y;Rental;340;02018-10-13;666164;
Beijing;villa3;China;CAD;$;nn;nno;street x;Rental;404;02018-10-16;959448;
Flying Fish Cove;villa7;Christmas Island;CVE;Esc;pt;por;street x;Both;974;02018-10-18;654525;
Bogotá;villa5;Colombia;XAF;Fr;en;eng;Zone z;Sale;917;02018-10-22;335241;
Bogotá;flat1;Colombia;XAF;Fr;en;eng;street x;Both;599;02018-10-26;31055;
Brazzaville;flat8;Congo;CLP;$;en;eng;street x;Both;304;02018-10-30;924977;
Brazzaville;flat5;Congo;CLP;$;en;eng;street x;Rental;474;02018-11-03;318995;
San José;hotel3;Costa Rica;AUD;$;fr;fra;Avenue y;Sale;547;02018-11-07;9577;
Willemstad;hotel7;Curaçao;XAF;Fr;rn;run;Avenue y;Rental;982;02018-11-08;660242;
Nicosia;hotel0;Cyprus;CDF;Fr;km;khm;street x;Sale;841;02018-11-12;947270;
Nicosia;villa6;Cyprus;CDF;Fr;km;khm;Zone z;Sale;369;02018-11-12;418973;
Prague;villa6;Czech Republic;NZD;$;en;eng;street x;Sale;885;02018-11-16;827623;
Roseau;villa8;Dominica;HRK;kn;fr;fra;street x;Sale;357;02018-11-18;246764;
Roseau;flat1;Dominica;HRK;kn;fr;fra;Avenue y;Both;145;02018-11-20;948781;
Roseau;villa0;Dominica;HRK;kn;fr;fra;Zone z;Sale;206;02018-11-23;573463;
Santo Domingo;flat4;Dominican Republic;CUC;$;pt;por;Zone z;Both;892;02018-11-25;503352;
Santo Domingo;flat5;Dominican Republic;CUC;$;pt;por;street x;Rental;226;02018-11-28;51937;
Quito;hotel5;Ecuador;CUP;$;en;eng;street x;Sale;789;02018-12-01;515163;
Quito;villa0;Ecuador;CUP;$;en;eng;Avenue y;Sale;817;02018-12-05;74087;
Cairo;hotel6;Egypt;ANG;ƒ;fr;fra;Avenue y;Sale;128;02018-12-07;764992;
Cairo;villa0;Egypt;ANG;ƒ;fr;fra;street x;Sale;210;02018-12-07;337700;
San Salvador;villa1;El Salvador;EUR;€;sg;sag;Avenue y;Rental;499;02018-12-07;737250;
San Salvador;villa4;El Salvador;EUR;€;sg;sag;Zone z;Sale;136;02018-12-07;911229;
Malabo;villa0;Equatorial Guinea;CZK;K?;fr;fra;Zone z;Both;399;02018-12-09;392778;
Malabo;villa2;Equatorial Guinea;CZK;K?;fr;fra;street x;Rental;583;02018-12-12;990488;
Malabo;hotel5;Equatorial Guinea;CZK;K?;fr;fra;Zone z;Both;797;02018-12-12;677114;
Tallinn;flat5;Estonia;DJF;Fr;es;spa;street x;Sale;688;02018-12-16;605542;
Tallinn;villa2;Estonia;DJF;Fr;es;spa;street x;Rental;891;02018-12-20;402415;
Addis Ababa;villa6;Ethiopia;XCD;$;zh;zho;street x;Rental;455;02018-12-22;688904;
Stanley;flat6;Falkland Islands (Malvinas);DOP;$;en;eng;street x;Rental;38;02018-12-26;822854;
Stanley;villa3;Falkland Islands (Malvinas);DOP;$;en;eng;Avenue y;Sale;99;02018-12-27;515928;
Tórshavn;flat6;Faroe Islands;USD;$;en;eng;Zone z;Sale;699;02018-12-27;869624;
Suva;flat1;Fiji;EGP;£;es;spa;street x;Both;143;02018-12-27;782713;
Suva;villa4;Fiji;EGP;£;es;spa;Avenue y;Both;563;02018-12-30;409433;
Suva;villa2;Fiji;EGP;£;es;spa;street x;Sale;926;02019-01-02;453364;
Helsinki;villa4;Finland;USD;$;ar;ara;street x;Both;880;02019-01-02;98576;
Port-aux-Français;villa4;French Southern Territories;ETB;Br;fr;fra;street x;Both;412;02019-01-03;498590;
Banjul;flat1;Gambia;DKK;kr;kg;kon;Avenue y;Sale;409;02019-01-05;780180;
Tbilisi;flat8;Georgia;(none);kr;sw;swa;Zone z;Rental;973;02019-01-06;214099;
Gibraltar;flat6;Gibraltar;EUR;€;es;spa;street x;Sale;62;02019-01-06;612884;
Gibraltar;villa8;Gibraltar;EUR;€;es;spa;street x;Both;923;02019-01-07;503424;
Athens;hotel5;Greece;EUR;€;hr;hrv;Zone z;Both;549;02019-01-10;902998;
Athens;flat1;Greece;EUR;€;hr;hrv;street x;Rental;133;02019-01-14;105137;
Nuuk;villa3;Greenland;XPF;Fr;es;spa;Zone z;Sale;815;02019-01-15;504244;
Basse-Terre;hotel5;Guadeloupe;XAF;Fr;pa;pan;street x;Both;553;02019-01-16;999673;
Hagåtña;flat4;Guam;GMD;D;en;eng;Avenue y;Sale;57;02019-01-17;29112;
St. Peter Port;hotel2;Guernsey;EUR;€;tr;tur;Zone z;Rental;227;02019-01-17;911515;
Conakry;flat1;Guinea;GHS;?;hy;hye;Zone z;Sale;178;02019-01-19;722925;
Georgetown;villa7;Guyana;EUR;€;sk;slk;Avenue y;Both;334;02019-01-23;630542;
Port-au-Prince;hotel7;Haiti;DKK;kr;da;dan;Avenue y;Sale;311;02019-01-23;604082;
Port-au-Prince;hotel5;Haiti;DKK;kr;da;dan;street x;Both;913;02019-01-24;801022;
Budapest;hotel6;Hungary;GBP;£;es;spa;Zone z;Both;699;02019-01-24;65693;
Reykjavík;villa1;Iceland;(none);£;ar;ara;street x;Both;830;02019-01-27;57272;
Reykjavík;flat1;Iceland;(none);£;ar;ara;Zone z;Rental;138;02019-01-30;960272;
New Delhi;flat5;India;GNF;Fr;es;spa;street x;Sale;568;02019-01-31;437236;
New Delhi;villa3;India;GNF;Fr;es;spa;street x;Both;880;02019-01-31;808077;
Jakarta;villa4;Indonesia;XOF;Fr;es;spa;Avenue y;Sale;557;02019-02-01;452772;
Jakarta;hotel8;Indonesia;XOF;Fr;es;spa;Avenue y;Sale;658;02019-02-01;291604;
Dublin;flat2;Ireland;EUR;€;en;eng;street x;Rental;634;02019-02-05;217931;
Jerusalem;flat1;Israel;HKD;$;am;amh;Avenue y;Rental;58;02019-02-07;640672;
Kingston;villa4;Jamaica;ISK;kr;fo;fao;Zone z;Both;660;02019-02-08;168601;
Kingston;flat2;Jamaica;ISK;kr;fo;fao;street x;Rental;439;02019-02-09;484057;
Tokyo;villa6;Japan;INR;?;en;eng;Avenue y;Sale;982;02019-02-10;197173;
Saint Helier;flat3;Jersey;IDR;Rp;fj;fij;Zone z;Rental;151;02019-02-10;414786;
Bishkek;villa0;Kyrgyzstan;IMP[G];£;fr;fra;street x;Sale;774;02019-02-11;909382;
Vientiane;villa8;Lao People's Democratic Republic;ILS;?;fr;fra;street x;Rental;272;02019-02-15;218669;
Beirut;villa7;Lebanon;JMD;$;fr;fra;Zone z;Rental;83;02019-02-17;741608;
Maseru;hotel5;Lesotho;JPY;¥;en;eng;Zone z;Rental;123;02019-02-21;520437;
Maseru;flat0;Lesotho;JPY;¥;en;eng;Zone z;Sale;543;02019-02-21;38655;
Tripoli;villa2;Libya;JEP[G];£;de;deu;street x;Sale;5;02019-02-23;798996;
Tripoli;hotel5;Libya;JEP[G];£;de;deu;Zone z;Both;805;02019-02-26;156292;
Antananarivo;hotel0;Madagascar;KWD;?.?;fr;fra;Avenue y;Both;255;02019-03-01;494166;
Antananarivo;villa0;Madagascar;KWD;?.?;fr;fra;Avenue y;Sale;154;02019-03-02;303622;
Kuala Lumpur;villa4;Malaysia;LAK;?;ch;cha;Avenue y;Sale;779;02019-03-02;221591;
Bamako;hotel5;Mali;LBP;?.?;es;spa;street x;Sale;396;02019-03-06;201622;
Valletta;villa1;Malta;LSL;L;en;eng;Avenue y;Sale;736;02019-03-10;497826;
Majuro;villa6;Marshall Islands;ZAR;R;fr;fra;Avenue y;Both;17;02019-03-11;674779;
Fort-de-France;hotel6;Martinique;LRD;$;fr;fra;street x;Sale;903;02019-03-12;320750;
Nouakchott;flat6;Mauritania;LYD;?.?;ff;ful;Zone z;Sale;120;02019-03-16;7413;
Nouakchott;hotel2;Mauritania;LYD;?.?;ff;ful;Zone z;Sale;768;02019-03-18;661377;
Mexico City;hotel6;Mexico;EUR;€;fr;fra;street x;Rental;545;02019-03-21;440870;
Mexico City;hotel3;Mexico;EUR;€;fr;fra;street x;Sale;559;02019-03-23;215935;
Monaco;villa2;Monaco;MGA;Ar;la;lat;street x;Sale;289;02019-03-23;564909;
Ulan Bator;hotel3;Mongolia;MWK;MK;it;ita;Zone z;Sale;259;02019-03-23;324275;
Ulan Bator;flat5;Mongolia;MWK;MK;it;ita;Avenue y;Rental;879;02019-03-24;957550;
Rabat;flat2;Morocco;XOF;Fr;es;spa;street x;Both;848;02019-03-27;787687;
Maputo;hotel2;Mozambique;EUR;€;en;eng;street x;Sale;506;02019-03-28;83165;
Maputo;flat6;Mozambique;EUR;€;en;eng;street x;Sale;901;02019-04-01;448195;
Yaren;villa8;Nauru;MRO;UM;is;isl;Avenue y;Sale;517;02019-04-01;878424;
Amsterdam;villa6;Netherlands;EUR;€;en;eng;Zone z;Sale;307;02019-04-04;291781;
Amsterdam;flat0;Netherlands;EUR;€;en;eng;Zone z;Rental;558;02019-04-08;2512;
Nouméa;flat4;New Caledonia;MXN;$;id;ind;Zone z;Both;272;02019-04-12;987933;
Managua;flat7;Nicaragua;USD;$;fa;fas;street x;Both;315;02019-04-13;433046;
Managua;villa4;Nicaragua;USD;$;fa;fas;Avenue y;Rental;485;02019-04-13;40700;
Managua;hotel8;Nicaragua;USD;$;fa;fas;Avenue y;Sale;783;02019-04-13;55134;
Niamey;villa8;Niger;MDL;L;ar;ara;street x;Both;866;02019-04-16;748073;
Abuja;hotel2;Nigeria;EUR;€;ku;kur;Zone z;Sale;675;02019-04-18;585526;
Alofi;villa1;Niue;MNT;?;ga;gle;Avenue y;Both;926;02019-04-22;781468;
Kingston;flat6;Norfolk Island;EUR;€;en;eng;Avenue y;Sale;155;02019-04-25;173715;
Pyongyang;villa4;Korea (Democratic People's Republic of);XCD;$;en;eng;street x;Both;877;02019-04-27;210190;
Oslo;villa3;Norway;MZN;MT;he;heb;Avenue y;Sale;742;02019-04-29;925973;
Muscat;flat7;Oman;MMK;Ks;ar;ara;street x;Rental;960;02019-05-02;505281;
Muscat;flat3;Oman;MMK;Ks;ar;ara;street x;Rental;416;02019-05-05;994432;
Ngerulmud;villa3;Palau;ZAR;R;en;eng;street x;Both;248;02019-05-06;451841;
Panama City;hotel5;Panama;(none);$;en;eng;Avenue y;Both;819;02019-05-10;657390;
Port Moresby;villa5;Papua New Guinea;NPR;?;fr;fra;Zone z;Sale;783;02019-05-14;98869;
Asunción;villa5;Paraguay;EUR;€;ar;ara;Avenue y;Sale;677;02019-05-15;374687;
Lima;hotel1;Peru;XPF;Fr;kk;kaz;Zone z;Sale;983;02019-05-16;247869;
Lima;hotel8;Peru;XPF;Fr;kk;kaz;street x;Rental;42;02019-05-20;77746;
Manila;hotel8;Philippines;NZD;$;ru;rus;street x;Rental;138;02019-05-23;85846;
Manila;villa2;Philippines;NZD;$;ru;rus;street x;Rental;481;02019-05-24;261040;
Warsaw;villa5;Poland;XOF;Fr;sw;swa;street x;Rental;685;02019-05-28;822558;
Lisbon;villa3;Portugal;NGN;?;en;eng;Avenue y;Rental;675;02019-05-31;340158;
Doha;flat4;Qatar;(none);$;ky;kir;Avenue y;Both;603;02019-06-04;434196;
Saint-Denis;flat2;Réunion;KPW;?;lo;lao;Zone z;Both;682;02019-06-05;56301;
Saint-Denis;villa4;Réunion;KPW;?;lo;lao;Zone z;Both;944;02019-06-08;819324;
Bucharest;villa5;Romania;USD;$;lv;lav;Zone z;Both;889;02019-06-09;732374;
Bucharest;flat6;Romania;USD;$;lv;lav;street x;Both;0;02019-06-09;122668;
Moscow;flat6;Russian Federation;NOK;kr;ar;ara;Zone z;Both;651;02019-06-13;935740;
Kigali;villa5;Rwanda;OMR;?.?.;fr;fra;Avenue y;Sale;988;02019-06-13;453739;
Gustavia;hotel1;Saint Barthélemy;PKR;?;en;eng;street x;Sale;404;02019-06-17;10762;
Gustavia;hotel8;Saint Barthélemy;PKR;?;en;eng;street x;Both;820;02019-06-21;907719;
Jamestown;flat6;Saint Helena, Ascension and Tristan da Cunha;(none);$;st;sot;street x;Both;924;02019-06-22;225845;
Basseterre;flat1;Saint Kitts and Nevis;USD;$;en;eng;Avenue y;Rental;965;02019-06-23;147957;
Basseterre;hotel7;Saint Kitts and Nevis;USD;$;en;eng;Avenue y;Both;616;02019-06-24;730412;
Marigot;hotel4;Saint Martin (French part);PAB;B/.;de;deu;Zone z;Rental;805;02019-06-25;70654;
Marigot;hotel5;Saint Martin (French part);PAB;B/.;de;deu;Zone z;Rental;58;02019-06-28;536687;
Marigot;villa3;Saint Martin (French part);PAB;B/.;de;deu;Zone z;Both;972;02019-06-29;183113;
Saint-Pierre;villa8;Saint Pierre and Miquelon;USD;$;lt;lit;Zone z;Both;8;02019-06-30;626734;
Apia;flat3;Samoa;PYG;?;de;deu;Avenue y;Sale;72;02019-07-01;771594;
Apia;villa8;Samoa;PYG;?;de;deu;street x;Rental;814;02019-07-03;884912;
City of San Marino;flat0;San Marino;PEN;S/.;lb;ltz;Zone z;Both;428;02019-07-05;95254;
São Tomé;hotel7;Sao Tome and Principe;PHP;?;zh;zho;Zone z;Sale;344;02019-07-07;315751;
Riyadh;flat4;Saudi Arabia;NZD;$;pt;por;street x;Both;574;02019-07-08;323479;
Riyadh;flat4;Saudi Arabia;NZD;$;pt;por;Avenue y;Sale;404;02019-07-10;26762;
Dakar;flat0;Senegal;;$;mk;mkd;Zone z;Rental;368;02019-07-14;873178;
Dakar;flat1;Senegal;;$;mk;mkd;Zone z;Both;695;02019-07-16;699227;
Dakar;hotel6;Senegal;;$;mk;mkd;Zone z;Sale;994;02019-07-17;815010;
Victoria;hotel1;Seychelles;EUR;€;mg;mlg;street x;Rental;209;02019-07-18;185783;
Freetown;villa0;Sierra Leone;USD;$;en;eng;street x;Both;722;02019-07-22;342840;
Singapore;hotel1;Singapore;QAR;?.?;ny;nya;Avenue y;Rental;855;02019-07-24;897182;
Singapore;flat6;Singapore;QAR;?.?;ny;nya;street x;Both;543;02019-07-28;121830;
Philipsburg;hotel1;Sint Maarten (Dutch part);EUR;€;;zsm;Avenue y;Sale;129;02019-07-29;124164;
Bratislava;hotel6;Slovakia;EUR;€;dv;div;street x;Sale;222;02019-07-29;737048;
Bratislava;villa8;Slovakia;EUR;€;dv;div;Zone z;Rental;318;02019-08-01;282192;
Ljubljana;flat6;Slovenia;RON;lei;fr;fra;Zone z;Sale;736;02019-08-02;542085;
Honiara;villa5;Solomon Islands;RUB;?;mt;mlt;street x;Both;635;02019-08-03;960920;
Honiara;hotel1;Solomon Islands;RUB;?;mt;mlt;street x;Sale;144;02019-08-04;580709;
Mogadishu;flat2;Somalia;RWF;Fr;en;eng;street x;Sale;540;02019-08-04;43076;
Mogadishu;hotel5;Somalia;RWF;Fr;en;eng;Avenue y;Both;335;02019-08-08;735559;
Pretoria;villa6;South Africa;EUR;€;en;eng;street x;Both;842;02019-08-08;447901;
King Edward Point;hotel0;South Georgia and the South Sandwich Islands;SHP;£;mh;mah;Avenue y;Sale;619;02019-08-11;961014;
Seoul;villa5;Korea (Republic of);XCD;$;fr;fra;Zone z;Sale;337;02019-08-12;25657;
Seoul;villa8;Korea (Republic of);XCD;$;fr;fra;street x;Both;643;02019-08-15;377672;
Juba;villa4;South Sudan;XCD;$;ar;ara;Zone z;Both;64;02019-08-18;654118;
Madrid;villa3;Spain;EUR;€;en;eng;street x;Sale;596;02019-08-19;321822;
Colombo;hotel4;Sri Lanka;EUR;€;fr;fra;Zone z;Sale;405;02019-08-19;805870;
Paramaribo;flat0;Suriname;WST;T;en;eng;Avenue y;Sale;306;02019-08-21;943086;
Longyearbyen;villa2;Svalbard and Jan Mayen;EUR;€;ro;ron;Avenue y;Rental;86;02019-08-21;115032;
Lobamba;flat5;Swaziland;STD;Db;fr;fra;Zone z;Sale;661;02019-08-24;133110;
Taipei;villa0;Taiwan;SCR;?;sq;sqi;street x;Rental;359;02019-08-24;570219;
Taipei;flat3;Taiwan;SCR;?;sq;sqi;street x;Sale;206;02019-08-27;290059;
Dushanbe;villa4;Tajikistan;SLL;Le;hr;hrv;street x;Rental;466;02019-08-28;696292;
Dushanbe;hotel4;Tajikistan;SLL;Le;hr;hrv;street x;Rental;703;02019-08-31;258536;
Dodoma;flat8;Tanzania, United Republic of;BND;$;en;eng;Zone z;Sale;383;02019-09-01;857937;
Bangkok;villa7;Thailand;SGD;$;ar;ara;street x;Both;523;02019-09-04;167532;
Lomé;flat7;Togo;EUR;€;my;mya;Zone z;Rental;663;02019-09-07;559128;
Lomé;villa2;Togo;EUR;€;my;mya;Zone z;Sale;433;02019-09-07;209624;
Fakaofo;villa2;Tokelau;EUR;€;en;eng;Avenue y;Rental;502;02019-09-11;489793;
Port of Spain;hotel2;Trinidad and Tobago;SOS;Sh;en;eng;Avenue y;Both;579;02019-09-13;286950;
Ankara;flat5;Turkey;GBP;£;ne;nep;Zone z;Sale;934;02019-09-14;584694;
Ankara;villa8;Turkey;GBP;£;ne;nep;Avenue y;Sale;102;02019-09-16;921802;
Cockburn Town;villa5;Turks and Caicos Islands;KRW;?;fr;fra;Zone z;Rental;774;02019-09-16;802007;
Cockburn Town;hotel7;Turks and Caicos Islands;KRW;?;fr;fra;Zone z;Both;486;02019-09-16;429343;
Funafuti;hotel8;Tuvalu;SSP;£;en;eng;Avenue y;Both;862;02019-09-20;306382;
Kiev;hotel7;Ukraine;LKR;Rs;es;spa;Avenue y;Both;965;02019-09-23;992999;
Kiev;villa6;Ukraine;LKR;Rs;es;spa;street x;Sale;817;02019-09-25;619646;
Kiev;villa2;Ukraine;LKR;Rs;es;spa;street x;Both;714;02019-09-29;808032;
Abu Dhabi;flat6;United Arab Emirates;SDG;?.?.;fr;fra;Avenue y;Both;834;02019-10-01;188085;
Washington, D.C.;hotel6;United States of America;NOK;kr;en;eng;Avenue y;Rental;286;02019-10-04;122102;
Washington, D.C.;flat3;United States of America;NOK;kr;en;eng;Zone z;Both;163;02019-10-07;665057;
Washington, D.C.;hotel8;United States of America;NOK;kr;en;eng;Zone z;Both;417;02019-10-07;505391;
Montevideo;hotel7;Uruguay;SZL;L;en;eng;Avenue y;Sale;750;02019-10-08;675184;
Montevideo;flat5;Uruguay;SZL;L;en;eng;Zone z;Sale;784;02019-10-10;668993;
Tashkent;flat5;Uzbekistan;SEK;kr;ko;kor;street x;Rental;907;02019-10-11;221922;
Port Vila;hotel3;Vanuatu;CHF;Fr;en;eng;street x;Rental;130;02019-10-15;138009;
Port Vila;hotel3;Vanuatu;CHF;Fr;en;eng;Avenue y;Rental;173;02019-10-19;99936;
Caracas;villa0;Venezuela (Bolivarian Republic of);SYP;£;ch;cha;street x;Rental;942;02019-10-22;89144;
Caracas;flat0;Venezuela (Bolivarian Republic of);SYP;£;ch;cha;Zone z;Both;501;02019-10-25;101108;
Hanoi;villa0;Viet Nam;TWD;$;no;nor;Avenue y;Sale;638;02019-10-27;190214;
Hanoi;hotel2;Viet Nam;TWD;$;no;nor;Zone z;Rental;705;02019-10-31;545418;
Lusaka;hotel8;Zambia;USD;$;en;eng;Avenue y;Sale;818;02019-10-31;737191;
